"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MYH11",81.342086053208,-2.79739491628385,0.333898792569885,-8.37797254297754,5.38472023009807e-17,1.09268849973588e-14
"CTHRC1",46.4023321332892,2.71571765045331,0.326122806208513,8.32728530097637,8.27172315809918e-17,1.66048171654359e-14
"ANK2",31.0113983146592,-2.25958195074285,0.271466885346807,-8.32360067732081,8.53307349140898e-17,1.69472286182037e-14
"MCC",11.4015208118773,-1.58090321265452,0.190371297355881,-8.3043149603544,1.00396997484155e-16,1.97295952213861e-14
"LMNB2",25.3889886774725,1.59593147927669,0.192652805720161,8.28397735143744,1.19128274495636e-16,2.31667266308232e-14
"LRRC45",16.4937052869929,1.52282930265501,0.184177410531715,8.26827404217834,1.35912200118008e-16,2.61581944742587e-14
"MFRP",4.21711895785023,-4.06743142781801,0.493134426157796,-8.24811899568435,1.6090710468001e-16,3.06528034415418e-14
"LMNB1",21.3517260180572,1.83775663510077,0.223091329638893,8.23768739948545,1.75571189476136e-16,3.31084700639392e-14
"DBNDD1",14.5134974120206,2.18509111338239,0.266099880947734,8.21154487405265,2.18360574507397e-16,4.07657356547859e-14
"PDE2A",17.6322348646283,-2.04321659406038,0.248984322290751,-8.20620581754707,2.28287944822144e-16,4.21971053651942e-14
"CAPS",65.5748812070416,2.51947236737787,0.307102693165786,8.2040060977836,2.32506305121407e-16,4.25554922579564e-14
"ALG9",257.376585767788,-1.87768331402418,0.229016525694142,-8.19889878397632,2.42599077715398e-16,4.39716716686288e-14
"DCLK1",11.0464185004024,-1.69325497828162,0.206827164089089,-8.18681136851185,2.68238093934224e-16,4.81513170736349e-14
"TPX2",7.31121413014937,3.13604812699647,0.384107822550665,8.16449950477853,3.22770655371077e-16,5.73886225249776e-14
"DES",107.03738912807,-6.17964616402758,0.757492952426477,-8.15802463142702,3.40548080800482e-16,5.99782275515491e-14
"CYP4F12",7.94928673808086,-3.49057992023908,0.428692355985492,-8.14238899178601,3.87553775738474e-16,6.76190788716035e-14
"HIST1H2AM",60.2490999454954,2.97573211746933,0.365892485353975,8.13280468056216,4.19470209352348e-16,7.25100864666573e-14
"RECQL4",33.7459437395418,2.53529249217982,0.311903886518455,8.12844149035574,4.34844924644029e-16,7.44781642034805e-14
"CPED1",11.0332071535811,-1.95793157364368,0.241077876430646,-8.12157300633491,4.60179874525097e-16,7.81008916137185e-14
"GALT",408.192991878543,-2.11025851077064,0.261143773602905,-8.08083027083577,6.4327290089298e-16,1.08191547628568e-13
"SNURF",311.826289950579,-1.81637704778514,0.224896290602785,-8.07650958989472,6.66469231972694e-16,1.11092090104448e-13
"ESR1",21.776928169599,-2.6038705219317,0.322940544447681,-8.06300282420421,7.44428033265333e-16,1.22988734097615e-13
"MCM3",27.6885011625899,1.76639257321055,0.219390936227334,8.051347077439,8.18876866150968e-16,1.34101861527828e-13
"HIST1H2BN",54.5648291018287,2.16664827873357,0.269252524045204,8.04690053107845,8.49171429834372e-16,1.37853751509373e-13
"ZNF8",62.7278548000955,-1.66575860454061,0.20757776033353,-8.02474504910409,1.01737011745213e-15,1.63735195885464e-13
"SLC52A2",37.1148617257558,1.91092617461337,0.238222787665225,8.02159270043805,1.04382761734603e-15,1.66557416993445e-13
"PIK3R2",400.092462264019,-1.34505406988791,0.168333509691719,-7.99041184581255,1.34488705806012e-15,2.12724802296551e-13
