"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0031639","plasminogen activation","6/724","27/18986",0.222222222222222,5.82750153468386,4.99800865579884,0.000448660748133695,0.0107307213515651,0.00914839917303388,"PGK1/SERPINE2/ENO1/F12/CTSZ/PLAU",6
"GO:0006735","NADH regeneration","5/724","18/18986",0.277777777777778,7.28437691835482,5.31114455044263,0.000450332679637787,0.0107307213515651,0.00914839917303388,"PGK1/PKM/TPI1/ENO1/ENO2",5
"GO:0010755","regulation of plasminogen activation","5/724","18/18986",0.277777777777778,7.28437691835482,5.31114455044263,0.000450332679637787,0.0107307213515651,0.00914839917303388,"SERPINE2/ENO1/F12/CTSZ/PLAU",5
"GO:0061621","canonical glycolysis","5/724","18/18986",0.277777777777778,7.28437691835482,5.31114455044263,0.000450332679637787,0.0107307213515651,0.00914839917303388,"PGK1/PKM/TPI1/ENO1/ENO2",5
"GO:0061718","glucose catabolic process to pyruvate","5/724","18/18986",0.277777777777778,7.28437691835482,5.31114455044263,0.000450332679637787,0.0107307213515651,0.00914839917303388,"PGK1/PKM/TPI1/ENO1/ENO2",5
"GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","11/724","87/18986",0.126436781609195,3.31564742490633,4.31035523612081,0.000460387051882703,0.0109167876058625,0.00930702861752094,"PLK1/PSRC1/PKMYT1/CDKN2A/CDKN3/CDC6/CDKN2B/CDC25A/CCND1/CCNE2/BLM",11
"GO:0051293","establishment of spindle localization","9/724","61/18986",0.147540983606557,3.8690788877819,4.46878929230617,0.000476223455156953,0.0112220670504135,0.00956729240842319,"NUSAP1/PLK1/CENPA/ESPL1/LLGL2/SAPCD2/CFL1/MAD2L1/SPAG5",9
"GO:0072524","pyridine-containing compound metabolic process","17/724","178/18986",0.0955056179775281,2.50451610900739,4.0154659710891,0.000477878600994772,0.0112220670504135,0.00956729240842319,"IDH2/GPI/PDXK/PGK1/GAPDH/UCHL1/PKM/TPI1/PDXP/UCP2/QPRT/DDIT4/SLC2A6/ENO1/ENO2/PARP10/KMO",17
"GO:0072527","pyrimidine-containing compound metabolic process","10/724","74/18986",0.135135135135135,3.5437509332537,4.36538076785254,0.000483811291520185,0.0113067629234597,0.00963949926475186,"TK1/DTYMK/TYMS/DCTPP1/UCK2/NME1/CMPK2/TYMP/CTPS1/NME2",10
"GO:0000041","transition metal ion transport","12/724","102/18986",0.117647058823529,3.08514787130322,4.20426772326471,0.000504031828716919,0.0117229603798705,0.0099943254074969,"STEAP3/SLC39A4/SLC39A1/SLC39A7/TRPM2/TTYH1/TFRC/ATOX1/LCN2/CP/FTL/LTF",12
"GO:0045589","regulation of regulatory T cell differentiation","7/724","38/18986",0.184210526315789,4.83069206164583,4.70638841769003,0.000511847194682636,0.0118480438731062,0.0101009644384237,"FANCA/IL4I1/LILRB4/FOXP3/LGALS9/LAG3/CTLA4",7
"GO:0150146","cell junction disassembly","6/724","28/18986",0.214285714285714,5.61937647987372,4.8704212943748,0.000552778995465335,0.0126842430670755,0.0108138600363963,"C1QB/DKK1/PRICKLE1/C1QC/TREM2/C1QA",6
"GO:0072711","cellular response to hydroxyurea","4/724","11/18986",0.363636363636364,9.53591160220994,5.63839859012552,0.000558409384150207,0.0126842430670755,0.0108138600363963,"DDX11/TIMELESS/RAD51/BLM",4
"GO:0090657","telomeric loop disassembly","4/724","11/18986",0.363636363636364,9.53591160220994,5.63839859012552,0.000558409384150207,0.0126842430670755,0.0108138600363963,"RECQL4/SLX1A/SLX1B/BLM",4
"GO:1904668","positive regulation of ubiquitin protein ligase activity","4/724","11/18986",0.363636363636364,9.53591160220994,5.63839859012552,0.000558409384150207,0.0126842430670755,0.0108138600363963,"PLK1/UBE2S/UBE2C/CDC20",4
"GO:0019882","antigen processing and presentation","13/724","118/18986",0.110169491525424,2.88905796422886,4.0984889506464,0.000566757666367453,0.0128139954242427,0.0109244794736287,"TAP1/IFI30/CALR/CTSD/TREM2/PSMB8/HLA-C/HLA-B/HLA-DQA1/HLA-DRB5/HLA-A/ULBP2/HLA-DQA2",13
"GO:0032069","regulation of nuclease activity","5/724","19/18986",0.263157894736842,6.90098865949404,5.12392392337616,0.000592105213890912,0.0133251085403876,0.0113602252782092,"DDX11/OAS3/PCNA/OAS1/GZMA",5
"GO:0009191","ribonucleoside diphosphate catabolic process","12/724","104/18986",0.115384615384615,3.02581810454739,4.12471110251181,0.000601855645233599,0.0134821211588964,0.0114940852548372,"GPI/PGK1/GAPDH/UCHL1/PKM/TPI1/UCP2/DDIT4/NUDT5/SLC2A6/ENO1/ENO2",12
"GO:1901293","nucleoside phosphate biosynthetic process","25/724","321/18986",0.0778816199376947,2.04234866869761,3.75017858704881,0.000616290319740137,0.013632385760312,0.011622192258112,"TK1/FLAD1/DTYMK/GFPT1/PARP1/GPI/TYMS/RRM2/UCK2/GMPS/NME1/ADCY7/CMPK2/QPRT/NDUFA9/GMDS/CTPS1/ENO1/TREM2/PARP10/NDUFA11/PAPSS2/HPRT1/NME2/KMO",25
"GO:0050672","negative regulation of lymphocyte proliferation","11/724","90/18986",0.122222222222222,3.20512584407612,4.17513101770997,0.000616976932167999,0.013632385760312,0.011622192258112,"IL4I1/CDKN2A/LILRB4/FOXP3/SCRIB/LGALS9/VTCN1/SOX11/CTLA4/TYROBP/PLA2G2D",11
"GO:1904029","regulation of cyclin-dependent protein kinase activity","11/724","90/18986",0.122222222222222,3.20512584407612,4.17513101770997,0.000616976932167999,0.013632385760312,0.011622192258112,"PLK1/PSRC1/PKMYT1/CDKN2A/CDKN3/CDC6/CDKN2B/CDC25A/CCND1/CCNE2/BLM",11
"GO:0001909","leukocyte mediated cytotoxicity","15/724","151/18986",0.0993377483443709,2.60500896417987,3.94260745095921,0.000669708994548148,0.0147305675226179,0.0125584392071258,"FCGR3A/PRDX1/TUBB/LGALS9/FADD/LAG3/CD2/HLA-C/HLA-B/HPRT1/HLA-A/TYROBP/HCST/NKG7/ULBP2",15
"GO:0034644","cellular response to UV","11/724","91/18986",0.120879120879121,3.1699046809544,4.13131509020143,0.000678127313811918,0.0147819590692365,0.0126022526999175,"AURKB/PARP1/POLD1/MMP9/BAX/MMP1/OPN3/PCNA/POLH/PBK/CDC25A",11
"GO:0044774","mitotic DNA integrity checkpoint signaling","11/724","91/18986",0.120879120879121,3.1699046809544,4.13131509020143,0.000678127313811918,0.0147819590692365,0.0126022526999175,"PLK1/DTL/RFWD3/GTSE1/TICRR/CDC6/ORC1/RBM38/CCND1/MUC1/BLM",11
"GO:0051785","positive regulation of nuclear division","9/724","64/18986",0.140625,3.68771581491713,4.28835005518289,0.00068331754528001,0.0148286008375274,0.0126420168034182,"NUSAP1/AURKA/ESPL1/UBE2C/CDC20/ANAPC11/DLGAP5/RAD51AP1/TNF",9
"GO:0032945","negative regulation of mononuclear cell proliferation","11/724","92/18986",0.119565217391304,3.13544919529186,4.08810099474774,0.000744234748173691,0.0160787782705436,0.0137078465663617,"IL4I1/CDKN2A/LILRB4/FOXP3/SCRIB/LGALS9/VTCN1/SOX11/CTLA4/TYROBP/PLA2G2D",11
"GO:0050866","negative regulation of cell activation","19/724","219/18986",0.0867579908675799,2.27512046217109,3.77899450199186,0.000755738423987505,0.0161834558546399,0.0137970886864772,"FN1/IL4I1/INHBA/RHBDD3/CDKN2A/LILRB4/FOXP3/SCRIB/SERPINE2/LGALS9/ASCL2/TREM2/LAG3/LAPTM5/VTCN1/SOX11/CTLA4/TYROBP/PLA2G2D",19
"GO:0051098","regulation of binding","19/724","219/18986",0.0867579908675799,2.27512046217109,3.77899450199186,0.000755738423987505,0.0161834558546399,0.0137970886864772,"E2F1/PLK1/STMN1/DDX11/MMP9/AURKA/CDT1/BAX/MDFI/TRIB3/DKK1/NME1/HJURP/BAMBI/IL32/SOX11/SLPI/IFIT1/GZMA",19
